"Binomial","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","global_abundance","max_growth_rate","Body.Mass.gram."
"Calidris temminckii",-0.954242509439325,0.439332693830263,-0.740362689494244,NA,-0.0232510691453709,-0.0232510691453705,-0.0232510691453709,-0.0232510691453705,-0.0232510691453709,-0.0232510691453705,-0.0232510691453709,-0.0232510691453705,-0.0232510691453705,NA,-0.532707440604373,0.158460027066144,-0.0654148812099,-0.0654148812106534,-0.0654148812112109,-0.0654148812115097,-0.0654148812116175,NA,NA,NA,NA,19909642,0.439332693830263,23
"Callipepla californica",0.0258649431713889,0.0258649431716491,0.025864943171668,0.0258649431714571,0.0258649431710538,0.0258649431704717,0.025864943169702,0.0258649431687736,0.0258649431677749,0.025864943166833,0.0258649431660438,0.0258649431654246,0.0258649431649096,0.0258649431644049,0.0258649431638777,0.0258649431633771,0.0258649431629714,0.025864943162659,0.025864943162362,0.0258649431620135,0.0258649431616136,0.0258649431612126,0.0258649431608594,0.0258649431605973,0.0258649431604634,10265045,0.025864943171668,163
"Calyptorhynchus banksii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00545732700141088,0.00545732700228863,0.0054573270032805,0.00545732700356383,0.00545732700317059,0.0054573270028595,0.00545732700324408,0.0054573270042344,0.0054573270052718,0.00545732700586976,NA,NA,NA,NA,4529891,0.00545732700586976,724
"Calyptorhynchus lathami",NA,NA,NA,NA,NA,NA,0.0349196738167317,0.0445266866856171,0.0512818876953105,0.0422451245791549,0.0195880025861923,0.000292960145915178,-0.000720271891944346,0.0137209035708103,0.0261290812927575,0.0237271649267665,0.0123107791614232,0.00808984003893976,0.0171464163423738,0.0282728159081183,NA,NA,NA,NA,NA,140309,0.0512818876953105,437
"Campephilus robustus",-0.0276605396332563,-0.0276605396332563,-0.0276605396332563,-0.0276605396332563,-0.0276605396332563,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145419,0,200
"Camptostoma obsoletum",0.0147572428321838,0.0147572428321836,0.0147572428321836,0.0147572428321838,0.0147572428321838,-0.04997549464332,-0.0499754946433202,-0.04997549464332,-0.04997549464332,-0.04997549464332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,-0.176091259055681,8563715,0.0147572428321838,8.1
"Campylopterus curvipennis",NA,NA,NA,NA,NA,-0.140421332857462,-0.140421332857462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610589,-0.140421332857462,6
"Campylopterus hemileucurus",NA,NA,NA,NA,NA,0.0223592062209858,0.0223592062209856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978537,0.0223592062209858,9.8
"Campylorhamphus falcularius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,189606,-1,42.6
"Campylorhynchus turdinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0254590192355826,-0.201744511311256,-0.0994224717164853,-0.0524342355790932,-0.0524342355790933,-0.0524342355790933,-0.0537405589638821,-0.0733532428623304,-0.0733532428623302,5016410,-0.0254590192355826,32.6
"Capito niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.166027988352737,0.201797314638415,-0.108925028736946,-0.01837517555617,-0.0183751755561701,-0.0183751755561701,-0.023071940485172,-0.0164948985608778,-0.0164948985608778,494669,0.201797314638415,58.9
"Capsiempis flaveola",0.0208868141901188,0.0208868141901184,0.0208868141901184,0.0208868141901184,0.0208868141901184,-0.0461561140966564,-0.0461561140966569,-0.0461561140966562,-0.0320812572803809,-0.0320812572803809,-0.0180064004641052,-0.0180064004641052,-0.0180064004641052,-0.0180064004641053,-0.0180064004641052,-0.0180064004641052,-0.0180064004641052,-0.0180064004641052,-0.0180064004641052,-0.0180064004641052,-0.0180064004641053,NA,NA,NA,NA,3311194,0.0208868141901188,7.7
"Caracara cheriway",0.0411092476787913,0.0411092476787918,0.0411092476787913,0.0411092476787913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,NA,NA,NA,3060221,0.301029995663981,1032
"Caracara plancus",0.0534343456806028,0.0534343456806026,0.0534343456806028,0.0534343456806028,0.0534343456806028,-0.00482673594334382,-0.00482673594334382,-0.00482673594334382,-0.00482673594334404,-0.00482673594334382,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-1,1,7964178,1,1348
"Cardinalis cardinalis",0.0149360829494822,0.00862803192419806,0.0745784929210479,0.111333022115291,0.0744318199248722,0.238794203383215,0.0578049068393954,0.0277037066179856,0.0152224247094235,0.0208524847646559,0.0283048006916959,0.0269146830925409,0.0182675359396041,0.0113294956237302,0.0127443649303854,0.0211481750500647,0.0393906716750237,0.0444725599679948,0.0393308482616375,0.0279583160482604,0.0194043696411796,0.0185677851351376,0.0233651106649536,0.0302966376957403,0.0387687623323892,204034397,0.238794203383215,42.7
"Carduelis carduelis",0.03444031086149,0.0447037862620704,0.024012051968843,-0.0791197365814839,-0.0865952628000366,-0.0579740862401371,0.0708244715603468,0.0562569962865552,0.15434900375554,0.103951428817827,0.0456027038113985,0.0227292787193726,-0.0073115101587148,0.00318628802415579,0.0125310346664477,-0.00840453071235626,-0.0493546534752476,-0.0644939175575423,-0.0386835161242416,-0.0100653275051189,0.00455878822504251,0.00314097381696322,-0.00530190785342523,-0.0115656227037386,-0.00844584727209684,45952282,0.15434900375554,16
"Cariama cristata",0.00948492998562767,0.00948492998562744,0.00948492998562789,0.00948492998562744,0.00948492998562767,0.034214091536126,0.0342140915361262,0.034214091536126,0.0342140915361262,0.034214091536126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733231,0.0342140915361262,1400
"Carpodacus erythrinus",0.0200806405352592,0.0189024214809312,0.01656303409758,0.0136395999455967,0.0104251637473847,0.0067297101682251,0.0022253455320973,-0.00294879560355321,-0.00803439697845221,-0.0121417927101106,-0.0148202177159917,-0.0162000644734586,-0.0167665738933156,-0.0170368026224419,-0.017268198502121,-0.0173642944409282,-0.017175350945525,-0.0169367059174397,-0.0171794937212011,-0.0180178184938802,-0.0187250935898053,-0.0183564005719301,-0.0167812556106273,-0.0148230231257622,-0.0133482258148969,28260994,0.0200806405352592,24
"Cathartes aura",0.0243663567107205,0.0249546611572823,0.0252065285657815,0.0253152619427857,0.0255984170362136,0.0258686803853492,0.0258009594094023,0.025518567855349,0.0254213578575991,0.0256263108962057,0.0259162389557912,0.026133854271562,0.026311778846557,0.0264509185250915,0.026462827762638,0.0263578721517761,0.0262373776361776,0.0260407103640628,0.0255435553675004,0.0247379252644148,0.0240476822675921,0.0240328398553495,0.024975684004108,0.0267909581468562,0.0291061306221545,70786507,0.0291061306221545,1552
"Catharus bicknelli",-0.0246636366649469,-0.0246443075351483,-0.0246251185400004,-0.0246064458516126,-0.0245881062828156,-0.0245694742290278,-0.0245501266920172,-0.0245303418829464,-0.0245108996284795,-0.024492405502937,-0.0244748236960289,-0.0244576086079438,-0.0244402336627388,-0.0244226341467649,-0.024405235273662,-0.0243886070619521,-0.0243730970539862,-0.0243587855184351,-0.0243457410306505,-0.024334205801179,-0.024324464422229,-0.0243166056900633,-0.0243105262343801,-0.0243061326194036,-0.0243033795646156,3894,-0.0243033795646156,27.8
"Catharus dryas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0129025676643746,0.0129025676643745,0.0129025676643745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385740,0.0129025676643746,37.7
"Catharus frantzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.177867536890704,-0.177867536890704,-0.177867536890704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540302,-0.177867536890704,28.9
"Catharus fuscescens",-0.00872984738823137,-0.00860534165261239,-0.00844541614742058,-0.00826790884926635,-0.00805197142982316,-0.00776317769708485,-0.00739323926608593,-0.00697589940998233,-0.00656511765957307,-0.00620737802687619,-0.00593832733083481,-0.00578302350315459,-0.00573122470832772,-0.00572106585919687,-0.00568330285537838,-0.00561158848759597,-0.00556115406967128,-0.00556364469020171,-0.00556956560940105,-0.00549906182499521,-0.00533375554773241,-0.00513386421955106,-0.0954308780669348,-0.00488518560074712,-0.00485420400291638,7843152,-0.00485420400291638,31.9
"Catharus guttatus",0.00355331110609788,0.00268537949976747,0.00103282258806715,0.000466837268328875,0.00176417837532622,0.00333114806764786,0.00328487722837563,0.00218470956097133,0.00216548846195259,0.00347312741064468,0.00378322329034309,0.00175589884060022,-0.0005339007249802,-0.000413320327116144,0.00134850067478005,0.00166916439519479,9.52466162610761e-06,-0.000606621442267937,0.00170201191855941,0.00446258533549802,0.00438076319207849,0.00234275743421327,0.00200395189014912,0.00397204380410249,0.00470633378611664,73129157,0.00470633378611664,30.1
"Catharus minimus",-0.0108426752185259,-0.0101648531023351,-0.00954952079888458,-0.00915376082122043,-0.00910750840199676,-0.0093872671898913,-0.00980613274983994,-0.0101730107997178,-0.0137426046539866,-0.0139346201834555,-0.0141294821668243,-0.0142519497398449,-0.014209027123426,-0.0139718581861406,-0.0135632210577121,-0.00946395681088534,-0.00855181448894773,-0.00755349726833623,-0.00657932160870744,-0.00569194972642196,-0.00489306148350689,-0.00418842442747148,-0.00361641525402379,-0.00319457814891979,-0.00288724330646177,70534687,-0.00288724330646177,31.6
