"Binomial","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","Class"
"Bubo scandiacus",NA,-0.0431582617309317,-0.0431582617309645,-0.0431582617309923,-0.0431582617309797,-0.0431582617309382,0.321808885439915,-0.344857781226043,-0.0115244478912321,-0.0249034380496974,-0.0249034380477666,-0.0249034380456287,-0.0249034380433587,-0.0249034380410309,-0.0249034380387586,-0.0249034380366627,-0.0249034380348275,0.225096561966679,-0.0332045840429995,-0.0332045840422901,NA,NA,NA,NA,NA,"Aves"
"Butorides striata",0.0132066321669961,0.0136066566325076,0.0138601194517321,0.0138506988745804,0.013578340569976,-0.00741705713154238,-0.00783539822785917,-0.00781481265076825,-0.00733123794150281,7.1014002741146e-05,-0.113844559153371,-0.0339314082357844,-0.0350313304204722,-0.0166507316361535,0.00686989698496935,0.0185304259055828,0.0146188115464001,0.0193602066197479,-0.00524715763170043,-0.0046435412996888,-0.00459336808549884,-0.00511604903024668,-0.00489331732555988,-0.171583414570163,-0.0085410920941191,"Aves"
"Bycanistes cylindricus",NA,NA,NA,-0.0532367322922012,-0.0532367322922012,-0.0532367322922012,0,0.0122853997597387,0.0122853997597385,0.012285399759739,0.0122853997597387,0.0122853997597387,0.0122853997597387,0.0122853997597387,0.0122853997597387,0.0122853997597387,0.0122853997597387,0.0122853997597385,0.012285399759739,0.0122853997597385,0.349481634734891,0.34948163473489,NA,NA,NA,"Aves"
"Bycanistes fistulator",NA,NA,NA,0.163001661858265,0.163001661858265,0.163001661858265,0.191554949301317,-0.0157432469768073,-0.0157432469768074,-0.0157432469768073,-0.0157432469768073,-0.0157432469768073,-0.0157432469768073,-0.0157432469768072,-0.0157432469768073,-0.0157432469768073,-0.0157432469768072,-0.0157432469768073,-0.0157432469768074,-0.0157432469768073,-0.302652992317917,-0.302652992317917,NA,NA,NA,"Aves"
"Cacatua leadbeateri",NA,NA,NA,NA,NA,NA,NA,NA,-0.031684532631701,-0.0463133850634694,-0.0697649285987325,-0.0904728729189161,-0.100439694022457,-0.0992604062242952,-0.0890611071456493,-0.0684826383972637,-0.0341149393414941,0.0115366245038564,0.0553809782097627,0.080902836936769,NA,NA,NA,NA,NA,"Aves"
"Calidris pugnax",-0.0399885530172949,-0.0341982806289053,-0.028471135159084,-0.02884784910898,-0.0246404840954774,-0.0249542386049599,-0.0950915224757209,0.0352281463932694,-0.0516345502276851,-0.0418262062678818,0.0143260376694695,0.120506203805523,-0.112921688876595,0.09461166046529,0.0450259893512247,0.0474458256467655,-0.0462658192923393,-0.0389586620290322,-0.026095216579113,-0.0235315230862558,-0.0146025338787378,-0.0289390668336658,0.0455628412229552,0.0656136658218784,0.0565939160053368,"Aves"
"Calidris pygmaea",-0.0369926914843422,-0.0369926914843421,-0.0744687677051002,-0.0744687677051002,-0.0744687677051004,-0.0744687677051002,-0.0744687677051002,-0.0744687677051002,-0.0744687677051001,-0.0744687677051004,-0.0744687677051001,-0.0744687677051002,-0.0744687677051002,-0.0622704996646815,-0.0622704996646813,-0.0529277363460889,-0.109352053230984,-0.0740262896928151,-0.0710735274449293,-0.104663292428627,-0.524754844686942,-0.339885188280583,-0.0885367499290224,-0.0211456956110494,-0.021145695611049,"Aves"
"Calidris tenuirostris",-0.00589729558302143,-0.0352512794911968,-0.0578957696851456,-0.0706878265134281,-0.0733623822720111,-0.0547579359763579,0.0467904101807127,-0.0159699634398552,-0.0549293797234857,0.000321853826567464,-0.0210145033458161,-0.0405880617541021,-0.0350298203141081,0.00623512028736063,-0.0331589138718181,-0.0228508166964233,-0.0210514327550758,-0.0128453713166952,-0.039008922866361,-0.0236347019470942,-0.0195907403107889,-0.0585779264704304,-0.00434686012964082,0.0068820694848193,-0.00476459030308686,"Aves"
"Calidris virgata",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787978594381879,0.787978594381878,-1,-0.544068044350276,-0.035061629918264,-0.035061629918612,-0.0350616299192446,-0.0350616299199766,-0.0350616299206257,-0.0350616299211064,-0.0350616299214224,-0.0350616299216172,-0.0350616299217323,-0.0350616299217961,-0.0350616299218248,NA,"Aves"
"Calonectris diomedea",0.0112479384731557,0.0112479384731557,0.0112479384731557,0.00595918726276964,0.00595918726276962,0.0059591872627697,0.00595918726276954,0.00595918726276972,0.00529429907381336,0.00529429907381344,0.0052942990738134,0.0052942990738134,0.0052942990738134,0.0237839335848701,0.02378393358487,0.0237839335848701,0.02378393358487,0.0237839335848699,NA,NA,NA,NA,NA,NA,NA,"Aves"
"Cardellina canadensis",-0.019752178078212,-0.0190932063573508,-0.0180418590559105,-0.0164703698094554,-0.0147843358686528,-0.0133780238010317,-0.0122467993786529,-0.0115014388717208,-0.0118459015303918,-0.0138742188192116,-0.0169684837391633,-0.0195926024387461,-0.0209113699365153,-0.0215715194001772,-0.0225292917109252,-0.0236049565551363,-0.0237642197200357,-0.0225196817481171,-0.0203551227437771,-0.0178262186283452,-0.0149806777302009,-0.0118911308050135,-0.00912366446611738,-0.00721334640024615,-0.00605167754555948,"Aves"
